Name,Region,Resource ID,Resource Type,Tag Key,Tag Value
–,ap-southeast-2,dopt-01e11a61f045d1202,DhcpOptionSet
–,ap-southeast-5,dopt-02e5b5125aaf611c4,DhcpOptionSet
–,eu-central-2,dopt-04659321e34cb80e7,DhcpOptionSet
–,af-south-1,dopt-08da719cbea72bd43,DhcpOptionSet
–,us-east-1,dopt-0b541241db0f29263,DhcpOptionSet
–,sa-east-1,dopt-0f61101acfb570f90,DhcpOptionSet
–,ap-south-1,dopt-0fdf332586782b0ec,DhcpOptionSet
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Lithium-LocalRole,Entry-AF
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Rails,"Lithium,Orion"
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Layer,L3
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Continent,Africa
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Libra-LocalRole,None
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Environment,Production
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,LatutudeBand,Equator
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Hemisphere,EQ
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Orion-LocalRole,Entry-AF
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Role,Crown
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,PoleRole,Neutral
AF-CROWN,af-south-1,i-01380581a42756ef8,Instance,Name,AF-CROWN
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,LatitudeBand,Equator
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,PoleRole,Neutral
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Orion-LocalRole,Entry-EU
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Libra-LocalRole,None
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Continent,Europe
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Lithium-LocalRole,Entry-EU
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Hemisphere,EQ
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Layer,L3
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Name,EU-CROWN
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Environment,Production
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Role,Crown
EU-CROWN,eu-central-2,i-047e951e2654f3658,Instance,Rails,"Lithium,Orion"
SA-CROWN,sa-east-1,i-055fa6038db94cadf,Instance,Hemisphere,EQ
SA-CROWN,sa-east-1,i-055fa6038db94cadf,Instance,Name,SA-CROWN
